service_id,date,exception_type
20170011multiint-0000100,20161209,1
20170011multiint-0001100,20161209,1
20170011multiint-1111100,20161209,1
20170511multiint-0000010,20161210,1
20170611multiint-0000001,20161211,1
20170012multiint-1110000,20161212,1
20170012multiint-1111000,20161212,1
20170012multiint-1111100,20161212,1
20170012multiint-1110000,20161213,1
20170012multiint-1111000,20161213,1
20170012multiint-1111100,20161213,1
20170012multiint-1110000,20161214,1
20170012multiint-1111000,20161214,1
20170012multiint-1111100,20161214,1
20170011multiint-0001100,20161215,1
20170011multiint-1111000,20161215,1
20170011multiint-1111100,20161215,1
20170011multiint-0000100,20161216,1
20170011multiint-0001100,20161216,1
20170011multiint-1111100,20161216,1
20170511multiint-0000010,20161217,1
20170611multiint-0000001,20161218,1
20170012multiint-1110000,20161219,1
20170012multiint-1111000,20161219,1
20170012multiint-1111100,20161219,1
20170012multiint-1110000,20161220,1
20170012multiint-1111000,20161220,1
20170012multiint-1111100,20161220,1
20170012multiint-1110000,20161221,1
20170012multiint-1111000,20161221,1
20170012multiint-1111100,20161221,1
20170011multiint-0001100,20161222,1
20170011multiint-1111000,20161222,1
20170011multiint-1111100,20161222,1
20170512multiint-0000010,20161223,1
20170511multiint-0000010,20161224,1
20170611multiint-0000001,20161225,1
20170513multiint-0000010,20161226,1
20170514multiint-0000010,20161227,1
20170514multiint-0000010,20161228,1
20170515multiint-0000010,20161229,1
20170512multiint-0000010,20161230,1
20170511multiint-0000010,20161231,1
20170611multiint-0000001,20170101,1
20170513multiint-0000010,20170102,1
20170514multiint-0000010,20170103,1
20170011multiint-1111000,20170104,1
20170011multiint-1111100,20170104,1
20170011multiint-0001100,20170105,1
20170011multiint-1111000,20170105,1
20170011multiint-1111100,20170105,1
20170011multiint-0000100,20170106,1
20170011multiint-0001100,20170106,1
20170011multiint-1111100,20170106,1
20170511multiint-0000010,20170107,1
20170611multiint-0000001,20170108,1
20170011multiint-1111000,20170109,1
20170011multiint-1111100,20170109,1
20170011multiint-1111000,20170110,1
20170011multiint-1111100,20170110,1
20170011multiint-1111000,20170111,1
20170011multiint-1111100,20170111,1
20170011multiint-0001100,20170112,1
20170011multiint-1111000,20170112,1
20170011multiint-1111100,20170112,1
20170011multiint-0000100,20170113,1
20170011multiint-0001100,20170113,1
20170011multiint-1111100,20170113,1
20170511multiint-0000010,20170114,1
20170611multiint-0000001,20170115,1
20170011multiint-1111000,20170116,1
20170011multiint-1111100,20170116,1
20170011multiint-1111000,20170117,1
20170011multiint-1111100,20170117,1
20170011multiint-1111000,20170118,1
20170011multiint-1111100,20170118,1
20170011multiint-0001100,20170119,1
20170011multiint-1111000,20170119,1
20170011multiint-1111100,20170119,1
20170011multiint-0000100,20170120,1
20170011multiint-0001100,20170120,1
20170011multiint-1111100,20170120,1
20170511multiint-0000010,20170121,1
20170611multiint-0000001,20170122,1
20170011multiint-1111000,20170123,1
20170011multiint-1111100,20170123,1
20170011multiint-1111000,20170124,1
20170011multiint-1111100,20170124,1
20170011multiint-1111000,20170125,1
20170011multiint-1111100,20170125,1
20170011multiint-0001100,20170126,1
20170011multiint-1111000,20170126,1
20170011multiint-1111100,20170126,1
20170011multiint-0000100,20170127,1
20170011multiint-0001100,20170127,1
20170011multiint-1111100,20170127,1
20170511multiint-0000010,20170128,1
20170611multiint-0000001,20170129,1
20170011multiint-1111000,20170130,1
20170011multiint-1111100,20170130,1
20170011multiint-1111000,20170131,1
20170011multiint-1111100,20170131,1
20170011multiint-1111000,20170201,1
20170011multiint-1111100,20170201,1
20170011multiint-0001100,20170202,1
20170011multiint-1111000,20170202,1
20170011multiint-1111100,20170202,1
20170011multiint-0000100,20170203,1
20170011multiint-0001100,20170203,1
20170011multiint-1111100,20170203,1
20170511multiint-0000010,20170204,1
20170611multiint-0000001,20170205,1
20170011multiint-1111000,20170206,1
20170011multiint-1111100,20170206,1
20170011multiint-1111000,20170207,1
20170011multiint-1111100,20170207,1
20170011multiint-1111000,20170208,1
20170011multiint-1111100,20170208,1
20170011multiint-0001100,20170209,1
20170011multiint-1111000,20170209,1
20170011multiint-1111100,20170209,1
20170011multiint-0000100,20170210,1
20170011multiint-0001100,20170210,1
20170011multiint-1111100,20170210,1
20170511multiint-0000010,20170211,1
20170611multiint-0000001,20170212,1
20170011multiint-1111000,20170213,1
20170011multiint-1111100,20170213,1
20170011multiint-1111000,20170214,1
20170011multiint-1111100,20170214,1
20170011multiint-1111000,20170215,1
20170011multiint-1111100,20170215,1
20170011multiint-0001100,20170216,1
20170011multiint-1111000,20170216,1
20170011multiint-1111100,20170216,1
20170011multiint-0000100,20170217,1
20170011multiint-0001100,20170217,1
20170011multiint-1111100,20170217,1
20170511multiint-0000010,20170218,1
20170611multiint-0000001,20170219,1
20170011multiint-1111000,20170220,1
20170011multiint-1111100,20170220,1
20170011multiint-1111000,20170221,1
20170011multiint-1111100,20170221,1
20170011multiint-1111000,20170222,1
20170011multiint-1111100,20170222,1
20170011multiint-0001100,20170223,1
20170011multiint-1111000,20170223,1
20170011multiint-1111100,20170223,1
20170011multiint-0000100,20170224,1
20170011multiint-0001100,20170224,1
20170011multiint-1111100,20170224,1
