route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
903301,RTC,"330",,"Univ.Laval/Cégep Garneau - Terminus Charlesbourg",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=330,E04503,000000
903321,RTC,"332",,"Saint-Rodrigue - Sainte-Foy Centre",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=332,E04503,000000
903361,RTC,"336",,"Univ.Laval/Cégep Garneau - Station des Roses",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=336,E04503,000000
903371,RTC,"337",,"Univ.Laval/Cégep Garneau - Terminus du Zoo",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=337,E04503,000000
903381,RTC,"338",,"Univ.Laval/Cégep Garneau - Montagne-des-Roches",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=338,E04503,000000
903501,RTC,"350",,"Univ.Laval/Cégep Garneau - Courville / Boischatel",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=350,E04503,000000
903551,RTC,"355",,"Univ.Laval/Cégep Garneau - Sainte-Thérèse-de-Lisieux",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=355,E04503,000000
903581,RTC,"358",,"Univ.Laval/Cégep Garneau - Sainte-Thérèse-de-Lisieux",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=358,E04503,000000
903721,RTC,"372",,"Univ.Laval/Cégep Garneau - Lac-Saint-Charles",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=372,E04503,000000
903741,RTC,"374",,"Univ.Laval/Cégep Garneau - Neufchâtel",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=374,E04503,000000
903771,RTC,"377",,"Univ.Laval/Cégep Garneau - Val-Bélair",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=377,E04503,000000
903801,RTC,"380",,"Univ.Laval/Cégep Garneau - L'Ancienne-Lorette",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=380,E04503,000000
903811,RTC,"381",,"Univ.Laval/Cégep Garneau - Neufchâtel",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=381,E04503,000000
903821,RTC,"382",,"Univ.Laval/Cégep Garneau - Saint-Émile",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=382,E04503,000000
903841,RTC,"384",,"Univ.Laval/Cégep Garneau - Loretteville",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=384,E04503,000000
909990,RTC,"999",,"null - null",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=999,013888,FFFFFF
900040,RTC,"4",,"Place Jacques-Cartier - Maizerets",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=4,013888,FFFFFF
900110,RTC,"11",,"Place D'Youville / Vieux-Québec - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=11,013888,FFFFFF
900130,RTC,"13",,"Saint-Louis/Sainte-Foy Centre/du Versant-Nord - Du Versant-Nord/Sainte-Foy Centre/Saint-Louis",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=13,013888,FFFFFF
900140,RTC,"14",,"Pointe-de-Sainte-Foy - Cap-Rouge",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=14,013888,FFFFFF
900150,RTC,"15",,"Pointe-de-Sainte-Foy - Cap-Rouge",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=15,013888,FFFFFF
900160,RTC,"16",,"Sillery / U. Laval / Sainte-Foy Centre - U. Laval / Sillery / Sainte-Foy Centre",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=16,013888,FFFFFF
900180,RTC,"18",,"Gare du Palais - Université Laval",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=18,013888,FFFFFF
900190,RTC,"19",,"Grand Théâtre - Limoilou",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=19,013888,FFFFFF
900210,RTC,"21",,"Gare fluviale - Place D'Youville",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=21,013888,FFFFFF
900250,RTC,"25",,"Place D'Youville / Gare du Palais - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=25,013888,FFFFFF
900280,RTC,"28",,"Colline Parlementaire - 51e Rue Est",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=28,013888,FFFFFF
900310,RTC,"31",,"Terminus du Zoo - Lac-Saint-Charles",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=31,013888,FFFFFF
900320,RTC,"32",,"Terminus du Zoo - Lac Clément",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=32,013888,FFFFFF
900340,RTC,"34",,"Terminus du Zoo - Des Laurentides",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=34,013888,FFFFFF
900360,RTC,"36",,"Place Jacques-Cartier - Station des Roses",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=36,013888,FFFFFF
