route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
900280,20170611multiint-0000001,50438068-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800023,2
900280,20170611multiint-0000001,50438105-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800027,2
900280,20170611multiint-0000001,50438070-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800023,2
900280,20170611multiint-0000001,50438107-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800027,2
900280,20170611multiint-0000001,50438072-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800023,2
900280,20170611multiint-0000001,50438109-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800027,2
900280,20170611multiint-0000001,50438074-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800023,2
900280,20170611multiint-0000001,50438111-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800027,2
900280,20170611multiint-0000001,50438076-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800023,2
900030,20170611multiint-0000001,50436440-20170611multiint-0000001,"Sainte-Odile (Nord)",,0,,00300122,2
900030,20170611multiint-0000001,50436480-20170611multiint-0000001,"Vieux-Québec / colline Parlementaire (Sud)",,1,,00300121,2
900280,20170611multiint-0000001,50438127-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800028,2
900280,20170611multiint-0000001,50438092-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800025,2
900280,20170611multiint-0000001,50438129-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800028,2
900280,20170611multiint-0000001,50438094-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800025,2
900280,20170611multiint-0000001,50438131-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800028,2
900280,20170611multiint-0000001,50438096-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800025,2
900280,20170611multiint-0000001,50438133-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800028,2
900280,20170611multiint-0000001,50438098-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800025,2
900280,20170611multiint-0000001,50438135-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800028,2
900280,20170611multiint-0000001,50438100-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800025,2
900280,20170611multiint-0000001,50438137-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800028,2
900280,20170611multiint-0000001,50438102-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800025,2
900280,20170611multiint-0000001,50438139-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800028,2
900280,20170611multiint-0000001,50438079-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800023,2
900030,20170611multiint-0000001,50436456-20170611multiint-0000001,"Sainte-Odile (Nord)",,0,,00300122,2
900030,20170611multiint-0000001,50436496-20170611multiint-0000001,"Vieux-Québec / colline Parlementaire (Sud)",,1,,00300121,2
900280,20170611multiint-0000001,50438118-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800027,2
900280,20170611multiint-0000001,50438083-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800023,2
900280,20170611multiint-0000001,50438120-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800027,2
900280,20170611multiint-0000001,50438085-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800023,2
900280,20170611multiint-0000001,50438122-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800027,2
900280,20170611multiint-0000001,50438087-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800023,2
900280,20170611multiint-0000001,50438124-20170611multiint-0000001,"51e Rue Est (Nord)",,0,,02800027,2
900280,20170611multiint-0000001,50438089-20170611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800023,2
900530,20170611multiint-0000001,50436923-20170611multiint-0000001,"Montmorency / Courville (Est)",,0,,05300214,2
900500,20170611multiint-0000001,50436857-20170611multiint-0000001,"Boischatel (Est)",,0,,05000186,2
900310,20170611multiint-0000001,50436793-20170611multiint-0000001,"Terminus du Zoo (Sud)",,1,,03100090,2
900360,20170611multiint-0000001,50438150-20170611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,03600120,2
900850,20170611multiint-0000001,50437229-20170611multiint-0000001,"Lebourgneuf (Nord)",,0,,08500182,2
900820,20170611multiint-0000001,50437222-20170611multiint-0000001,"Lac-Saint-Charles (Nord)",,0,,08200254,1
900820,20170611multiint-0000001,50437213-20170611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,08200252,1
900520,20170611multiint-0000001,50436909-20170611multiint-0000001,"Du Bourg-Royal (Est)",,0,,05200033,1
900800,20170611multiint-0000001,50436357-20170611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,08000372,2
900040,20170611multiint-0000001,50437927-20170611multiint-0000001,"Maizerets (Nord)",,0,,00400333,2
900040,20170611multiint-0000001,50437944-20170611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,00400203,2
900790,20170611multiint-0000001,50437150-20170611multiint-0000001,"Terminus Les Saules / Belvédère (Sud)",,1,,07900299,2
900810,20170611multiint-0000001,50437161-20170611multiint-0000001,"Terminus Les Saules (Sud)",,1,,08100172,2
900810,20170611multiint-0000001,50437179-20170611multiint-0000001,"Terminus du Zoo (Nord)",,0,,08100173,2
900520,20170611multiint-0000001,50436887-20170611multiint-0000001,"Du Bourg-Royal (Est)",,0,,05200033,2
908074,20170611multiint-0000001,50435771-20170611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
908074,20170611multiint-0000001,50435851-20170611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740032,1
908074,20170611multiint-0000001,50435776-20170611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
908074,20170611multiint-0000001,50435856-20170611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740032,1
908074,20170611multiint-0000001,50435782-20170611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
908074,20170611multiint-0000001,50435862-20170611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740032,1
908074,20170611multiint-0000001,50435788-20170611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
908074,20170611multiint-0000001,50435868-20170611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740032,1
908074,20170611multiint-0000001,50435794-20170611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
908074,20170611multiint-0000001,50435874-20170611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740032,1
908014,20170611multiint-0000001,50437500-20170611multiint-0000001,"Charlesbourg (Est)",,0,,80140425,1
908014,20170611multiint-0000001,50437584-20170611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140433,1
